witness soak start 2026-06-17T03:42:31Z dur=28800s img=0.17.0 shape=witness
05:09:24 iter=60 wit=907 mempoolReject=907 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:11:05 iter=61 wit=917 mempoolReject=917 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:12:52 iter=62 wit=928 mempoolReject=928 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:13:56 iter=63 wit=939 mempoolReject=939 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:15:28 iter=64 wit=950 mempoolReject=950 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:16:36 iter=65 wit=951 mempoolReject=951 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:18:17 iter=66 wit=961 mempoolReject=961 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:19:33 iter=67 wit=971 mempoolReject=971 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:20:29 iter=68 wit=971 mempoolReject=971 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:21:24 iter=69 wit=981 mempoolReject=981 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:22:20 iter=70 wit=981 mempoolReject=981 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:23:36 iter=71 wit=991 mempoolReject=991 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:25:11 iter=72 wit=1002 mempoolReject=1002 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:26:10 iter=73 wit=1012 mempoolReject=1012 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:27:35 iter=74 wit=1014 mempoolReject=1014 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:28:28 iter=75 wit=1024 mempoolReject=1024 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:29:45 iter=76 wit=1026 mempoolReject=1026 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:30:55 iter=77 wit=1036 mempoolReject=1036 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:32:15 iter=78 wit=1047 mempoolReject=1047 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:35:05 iter=79 wit=1057 mempoolReject=1057 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:36:07 iter=80 wit=1067 mempoolReject=1067 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:37:36 iter=81 wit=1078 mempoolReject=1078 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:39:29 iter=82 wit=1088 mempoolReject=1088 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:41:13 iter=83 wit=1099 mempoolReject=1099 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:42:35 iter=84 wit=1110 mempoolReject=1110 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:43:37 iter=85 wit=1111 mempoolReject=1111 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:44:39 iter=86 wit=1121 mempoolReject=1121 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:46:17 iter=87 wit=1133 mempoolReject=1133 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:47:42 iter=88 wit=1134 mempoolReject=1134 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:48:38 iter=89 wit=1146 mempoolReject=1146 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:49:46 iter=90 wit=1146 mempoolReject=1146 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:51:57 iter=91 wit=1166 mempoolReject=1166 mempoolAdd=0 relay2_crit=0 relay2_restart=0
