pp.maxTxSize.neg1	REJECT	1	0.02	InstantiationError
pp.maxTxSize.negf	REJECT	1	0.02	InstantiationError
pp.maxTxSize.null	REJECT	1	0.02	InstantiationError
pp.maxTxSize.one	ACCEPT	124	3.02	not-rejected(3s)
pp.maxTxSize.sci	REJECT	1	0.02	InstantiationError
pp.maxTxSize.str	REJECT	1	0.02	InstantiationError
pp.maxTxSize.tiny	REJECT	1	0.02	InstantiationError
pp.maxTxSize.zero	ACCEPT	124	3.02	not-rejected(3s)
pp.minFeeA.big63	ACCEPT	124	3.02	not-rejected(3s)
pp.minFeeA.big64	REJECT	1	0.02	InstantiationError
pp.minFeeA.bool	REJECT	1	0.02	InstantiationError
pp.minFeeA.emptystr	REJECT	1	0.02	InstantiationError
pp.minFeeA.float	REJECT	1	0.02	InstantiationError
pp.minFeeA.half	REJECT	1	0.02	InstantiationError
pp.minFeeA.huge	REJECT	1	0.02	InstantiationError
pp.minFeeA.missing	REJECT	1	0.02	InstantiationError
pp.minFeeA.neg1	REJECT	1	0.02	InstantiationError
pp.minFeeA.negf	REJECT	1	0.02	InstantiationError
pp.minFeeA.null	REJECT	1	0.02	InstantiationError
pp.minFeeA.one	ACCEPT	124	3.02	not-rejected(3s)
pp.minFeeA.sci	ACCEPT	124	3.02	not-rejected(3s)
pp.minFeeA.str	REJECT	1	0.02	InstantiationError
pp.minFeeA.tiny	REJECT	1	0.02	InstantiationError
pp.minFeeA.zero	ACCEPT	124	3.02	not-rejected(3s)
pp.minFeeB.big63	ACCEPT	124	3.02	not-rejected(3s)
pp.minFeeB.big64	REJECT	1	0.02	InstantiationError
pp.minFeeB.bool	REJECT	1	0.02	InstantiationError
pp.minFeeB.emptystr	REJECT	1	0.02	InstantiationError
pp.minFeeB.float	REJECT	1	0.02	InstantiationError
pp.minFeeB.half	REJECT	1	0.02	InstantiationError
pp.minFeeB.huge	REJECT	1	0.02	InstantiationError
pp.minFeeB.missing	REJECT	1	0.02	InstantiationError
pp.minFeeB.neg1	REJECT	1	0.02	InstantiationError
pp.minFeeB.negf	REJECT	1	0.02	InstantiationError
pp.minFeeB.null	REJECT	1	0.02	InstantiationError
pp.minFeeB.one	ACCEPT	124	3.02	not-rejected(3s)
pp.minFeeB.sci	ACCEPT	124	3.02	not-rejected(3s)
pp.minFeeB.str	REJECT	1	0.02	InstantiationError
pp.minFeeB.tiny	REJECT	1	0.02	InstantiationError
pp.minFeeB.zero	ACCEPT	124	3.02	not-rejected(3s)
pp.nOpt.big63	REJECT	1	0.02	InstantiationError
pp.nOpt.big64	REJECT	1	0.02	InstantiationError
pp.nOpt.bool	REJECT	1	0.02	InstantiationError
pp.nOpt.emptystr	REJECT	1	0.02	InstantiationError
pp.nOpt.float	REJECT	1	0.02	InstantiationError
pp.nOpt.half	REJECT	1	0.02	InstantiationError
pp.nOpt.huge	REJECT	1	0.02	InstantiationError
pp.nOpt.missing	REJECT	1	0.02	InstantiationError
pp.nOpt.neg1	REJECT	1	0.02	InstantiationError
pp.nOpt.negf	REJECT	1	0.02	InstantiationError
pp.nOpt.null	REJECT	1	0.02	InstantiationError
pp.nOpt.one	ACCEPT	124	3.02	not-rejected(3s)
pp.nOpt.sci	REJECT	1	0.02	InstantiationError
pp.nOpt.str	REJECT	1	0.02	InstantiationError
pp.nOpt.tiny	REJECT	1	0.02	InstantiationError
pp.nOpt.zero	ACCEPT	124	3.02	not-rejected(3s)
pp.poolDeposit.big63	ACCEPT	124	3.02	not-rejected(3s)
pp.poolDeposit.big64	REJECT	1	0.02	InstantiationError
pp.poolDeposit.bool	REJECT	1	0.02	InstantiationError
pp.poolDeposit.emptystr	REJECT	1	0.02	InstantiationError
pp.poolDeposit.float	REJECT	1	0.02	InstantiationError
pp.poolDeposit.half	REJECT	1	0.02	InstantiationError
pp.poolDeposit.huge	REJECT	1	0.02	InstantiationError
pp.poolDeposit.missing	REJECT	1	0.02	InstantiationError
pp.poolDeposit.neg1	REJECT	1	0.02	InstantiationError
pp.poolDeposit.negf	REJECT	1	0.02	InstantiationError
pp.poolDeposit.null	REJECT	1	0.02	InstantiationError
pp.poolDeposit.one	ACCEPT	124	3.02	not-rejected(3s)
pp.poolDeposit.sci	ACCEPT	124	3.02	not-rejected(3s)
pp.poolDeposit.str	REJECT	1	0.02	InstantiationError
pp.poolDeposit.tiny	REJECT	1	0.02	InstantiationError
pp.poolDeposit.zero	ACCEPT	124	3.02	not-rejected(3s)
pp.protocolVersion.big63	REJECT	1	0.02	InstantiationError
pp.protocolVersion.big64	REJECT	1	0.02	InstantiationError
pp.protocolVersion.bool	REJECT	1	0.02	InstantiationError
pp.protocolVersion.emptystr	REJECT	1	0.02	InstantiationError
