[dwarf-cov] surface=txsub seconds=28800 corpus=/opt/corpora/txsub
[*] Spinning up the fork server...
[+] All right - new fork server model v1 is up.
[*] Target map size: 2072214
    To avoid having crashes misinterpreted as timeouts, please 
[+] Loaded a total of 4 seeds.
    len = 2, map size = 191, exec speed = 11478 us, hash = 53d086b56b16cb97
    len = 7, map size = 225, exec speed = 12384 us, hash = ac7ad1589136e34c
    len = 7, map size = 225, exec speed = 12507 us, hash = 81b6402e7d8c7e72
    len = 3, map size = 193, exec speed = 12335 us, hash = 6a95eb4d287dfaf0
[+] All set and ready to roll!
[*] Fuzzing test case #81 (228 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12096, hits=0, map=178, ascii=0, run_time=0:01:08:09, cvg=0.06%) FS (t=0:00:00:25 (0.62%), st=2083, avg=111 ms, found=0/227)...
[*] Fuzzing test case #39 (228 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11996, hits=0, map=179, ascii=0, run_time=0:01:13:30, cvg=0.06%) FS (t=0:00:00:25 (0.58%), st=2090, avg=111 ms, found=0/228)...
[*] Fuzzing test case #46 (228 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11955, hits=0, map=168, ascii=0, run_time=0:01:18:36, cvg=0.06%) FS (t=0:00:00:25 (0.54%), st=2090, avg=111 ms, found=0/228)...
[*] Fuzzing test case #23 (228 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12034, hits=0, map=191, ascii=0, run_time=0:01:23:40, cvg=0.06%) FS (t=0:00:00:25 (0.51%), st=2090, avg=111 ms, found=0/228)...
[*] Fuzzing test case #75 (228 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12006, hits=0, map=200, ascii=0, run_time=0:01:28:49, cvg=0.06%) FS (t=0:00:00:25 (0.48%), st=2090, avg=111 ms, found=0/228)...
[*] Fuzzing test case #97 (229 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12022, hits=0, map=168, ascii=0, run_time=0:01:34:02, cvg=0.06%) FS (t=0:00:00:25 (0.45%), st=2092, avg=111 ms, found=0/229)...
[*] Fuzzing test case #54 (230 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11855, hits=0, map=178, ascii=0, run_time=0:01:39:09, cvg=0.06%) FS (t=0:00:00:25 (0.43%), st=2094, avg=111 ms, found=0/230)...
[*] Fuzzing test case #4 (232 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11955, hits=0, map=173, ascii=0, run_time=0:01:48:42, cvg=0.06%) FS (t=0:00:00:25 (0.39%), st=2101, avg=111 ms, found=0/232)...
[*] Fuzzing test case #18 (233 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12065, hits=0, map=191, ascii=0, run_time=0:01:53:52, cvg=0.06%) FS (t=0:00:00:25 (0.38%), st=2103, avg=110 ms, found=0/233)...
[*] Fuzzing test case #4 (233 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11955, hits=0, map=173, ascii=0, run_time=0:01:58:55, cvg=0.06%) FS (t=0:00:00:25 (0.36%), st=2103, avg=110 ms, found=0/233)...
