[dwarf-cov] surface=keepalive seconds=28800 corpus=/opt/corpora/keepalive
[*] Spinning up the fork server...
[+] All right - new fork server model v1 is up.
[*] Target map size: 2072214
    To avoid having crashes misinterpreted as timeouts, please 
[+] Loaded a total of 4 seeds.
    len = 2, map size = 183, exec speed = 12789 us, hash = ab54d88dc6a919bb
    len = 5, map size = 183, exec speed = 12239 us, hash = 3c258ed9f4351ee2
    len = 5, map size = 210, exec speed = 12357 us, hash = 379f6e009a5a38dd
    len = 5, map size = 210, exec speed = 12391 us, hash = 379f6e009a5a38dd
[+] All set and ready to roll!
[*] Fuzzing test case #121 (171 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12317, hits=0, map=182, ascii=0, run_time=0:01:03:57, cvg=0.05%) FS (t=0:00:00:11 (0.31%), st=981, avg=70 ms, found=0/170)...
[*] Fuzzing test case #83 (171 total, 0 crashes saved, state: final phase, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11990, hits=0, map=162, ascii=0, run_time=0:01:08:57, cvg=0.05%) FS (t=0:00:00:11 (0.29%), st=981, avg=70 ms, found=0/170)...
[*] Fuzzing test case #17 (171 total, 0 crashes saved, state: finished..., mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12459, hits=0, map=183, ascii=0, run_time=0:01:13:56, cvg=0.05%) FS (t=0:00:00:11 (0.27%), st=981, avg=70 ms, found=0/170)...
[*] Fuzzing test case #105 (171 total, 0 crashes saved, state: finished..., mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11999, hits=0, map=182, ascii=0, run_time=0:01:18:54, cvg=0.05%) FS (t=0:00:00:11 (0.25%), st=981, avg=70 ms, found=0/170)...
[*] Fuzzing test case #86 (171 total, 0 crashes saved, state: finished..., mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12200, hits=0, map=174, ascii=0, run_time=0:01:23:53, cvg=0.05%) FS (t=0:00:00:11 (0.24%), st=981, avg=70 ms, found=0/170)...
[*] Fuzzing test case #117 (171 total, 0 crashes saved, state: finished..., mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12009, hits=0, map=183, ascii=0, run_time=0:01:28:50, cvg=0.05%) FS (t=0:00:00:11 (0.22%), st=981, avg=70 ms, found=0/170)...
[*] Fuzzing test case #97 (171 total, 0 crashes saved, state: finished..., mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11616, hits=0, map=162, ascii=0, run_time=0:01:33:48, cvg=0.05%) FS (t=0:00:00:11 (0.21%), st=981, avg=70 ms, found=0/170)...
[*] Fuzzing test case #91 (171 total, 0 crashes saved, state: finished..., mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11776, hits=0, map=162, ascii=0, run_time=0:01:38:45, cvg=0.05%) FS (t=0:00:00:11 (0.20%), st=981, avg=70 ms, found=0/170)...
[*] Fuzzing test case #124 (173 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12454, hits=0, map=212, ascii=0, run_time=0:01:48:15, cvg=0.05%) FS (t=0:00:00:12 (0.19%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #142 (173 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12297, hits=0, map=183, ascii=0, run_time=0:01:53:13, cvg=0.05%) FS (t=0:00:00:12 (0.18%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #11 (173 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12122, hits=0, map=183, ascii=0, run_time=0:01:58:10, cvg=0.05%) FS (t=0:00:00:12 (0.17%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #18 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12391, hits=0, map=183, ascii=0, run_time=0:02:03:08, cvg=0.05%) FS (t=0:00:00:12 (0.16%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #133 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12072, hits=0, map=204, ascii=0, run_time=0:02:08:06, cvg=0.05%) FS (t=0:00:00:12 (0.16%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #79 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12060, hits=0, map=174, ascii=0, run_time=0:02:13:05, cvg=0.05%) FS (t=0:00:00:12 (0.15%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #120 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12381, hits=0, map=204, ascii=0, run_time=0:02:18:02, cvg=0.05%) FS (t=0:00:00:12 (0.15%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #157 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11984, hits=0, map=183, ascii=0, run_time=0:02:23:01, cvg=0.05%) FS (t=0:00:00:12 (0.14%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #74 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11989, hits=0, map=183, ascii=0, run_time=0:02:28:01, cvg=0.05%) FS (t=0:00:00:12 (0.14%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #20 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12191, hits=0, map=183, ascii=0, run_time=0:02:33:00, cvg=0.05%) FS (t=0:00:00:12 (0.13%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #45 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12359, hits=0, map=162, ascii=0, run_time=0:02:37:58, cvg=0.05%) FS (t=0:00:00:12 (0.13%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #88 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12315, hits=0, map=174, ascii=0, run_time=0:02:42:57, cvg=0.05%) FS (t=0:00:00:12 (0.12%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #106 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12069, hits=0, map=162, ascii=0, run_time=0:02:47:55, cvg=0.05%) FS (t=0:00:00:12 (0.12%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #90 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12216, hits=0, map=174, ascii=0, run_time=0:02:52:54, cvg=0.05%) FS (t=0:00:00:12 (0.12%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #101 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12046, hits=0, map=162, ascii=0, run_time=0:02:57:52, cvg=0.05%) FS (t=0:00:00:12 (0.11%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #30 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12111, hits=0, map=173, ascii=0, run_time=0:03:02:51, cvg=0.05%) FS (t=0:00:00:12 (0.11%), st=995, avg=70 ms, found=0/172)...
[*] Fuzzing test case #42 (173 total, 0 crashes saved, state: in progress, mode=exploit, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12019, hits=0, map=173, ascii=0, run_time=0:03:07:48, cvg=0.05%) FS (t=0:00:00:12 (0.11%), st=995, avg=70 ms, found=0/172)...
